feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
2.6.1.83: LL-diaminopimelate aminotransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.33876917959848	-0.0614602574130574	0.244656625494048	4.34435151063258e-7	4.01704921020771e-5	4.34435151063258e-7	4.01704921020771e-5	NA	abundance	105	87
6.3.4.3: Formate--tetrahydrofolate ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.15120315965011	-0.0614602574130574	0.212350560605213	4.78707051582028e-7	4.347233330223e-5	4.78707051582028e-7	4.347233330223e-5	NA	abundance	105	89
2.3.1.30: Serine O-acetyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.60071584393886	-0.0614602574130574	0.287343014738088	5.09344963123841e-7	4.55993032629924e-5	5.09344963123841e-7	4.55993032629924e-5	NA	abundance	105	78
4.1.1.3: Oxaloacetate decarboxylase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.26708838399836	-0.0614602574130574	0.235367341355609	5.174773505338e-7	4.60554841975082e-5	5.174773505338e-7	4.60554841975082e-5	NA	abundance	105	90
6.4.1.1: Pyruvate carboxylase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.26708838399836	-0.0614602574130574	0.235367341355609	5.20198185756813e-7	4.61351906778569e-5	5.20198185756813e-7	4.61351906778569e-5	NA	abundance	105	90
2.1.3.1: Methylmalonyl-CoA carboxytransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.26708838399836	-0.0614602574130574	0.235367341355609	5.22052966469838e-7	4.62455985297603e-5	5.22052966469838e-7	4.62455985297603e-5	NA	abundance	105	90
2.4.1.211: 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.28246025165541	-0.0614602574130574	0.245440939322908	5.38387964528716e-7	4.73057735507341e-5	5.38387964528716e-7	4.73057735507341e-5	NA	abundance	105	83
2.7.2.4: Aspartate kinase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.41527726761465	-0.0614602574130574	0.265404446499671	5.59147891012325e-7	4.86947042304095e-5	5.59147891012325e-7	4.86947042304095e-5	NA	abundance	105	87
2.6.1.42: Branched-chain-amino-acid transaminase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.73352147414792	-0.0614602574130574	0.321450984418236	6.45382150011732e-7	5.42972765655065e-5	6.45382150011732e-7	5.42972765655065e-5	NA	abundance	105	88
3.6.3.40: Teichoic-acid-transporting ATPase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.12933470927626	-0.0614602574130574	0.222274608672038	8.55363092521295e-7	6.80592576911907e-5	8.55363092521295e-7	6.80592576911907e-5	NA	abundance	105	84
