"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UniRef90_G9WKL6|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.163782817613446	-0.290682613120024	0.1603427482621	0.00635269008742845	0.0715615263505339	0.00635269008742845	0.0715615263505339	NA	"abundance"	105	90
"UniClust90_15313-NDCDDFIF_01348|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-1.10692004323134	-0.290682613120024	0.276837638444303	0.00635732306634556	0.0715615263505339	0.00635732306634556	0.0715615263505339	NA	"abundance"	105	35
"UniRef90_C7H5Z8|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.490148190340905	-0.0172759480074225	0.166870378343333	0.00638439678331756	0.0717585190492479	0.00638439678331756	0.0717585190492479	NA	"abundance"	105	89
"UniClust90_15313-GPFNKAJN_00086|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.119325437192308	-0.290682613120024	0.143992681579467	0.00639591064066511	0.0717585190492479	0.00639591064066511	0.0717585190492479	NA	"abundance"	105	79
"UniRef90_UNK15313-AHBKDAPH_01712|s__GGB9739_SGB15313.t__SGB15313"	"age"	"age"	"age"	-0.153376637182679	0.0182835451620962	0.0611603126022385	0.0063993699056472	0.0717585190492479	0.0063993699056472	0.0717585190492479	NA	"abundance"	105	86
"UniClust90_15313-GPFNKAJN_00732|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.59801831553181	-0.0172759480074225	0.203906814324164	0.00640308713381862	0.0717585190492479	0.00640308713381862	0.0717585190492479	NA	"abundance"	105	72
"UniClust90_15313-HKPHHECB_00962|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.505979057879093	-0.0172759480074225	0.173571152426449	0.00640962040969424	0.0717585190492479	0.00640962040969424	0.0717585190492479	NA	"abundance"	105	79
"UniClust90_15313-CEKEMMJP_00787|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.561445603217637	-0.0172759480074225	0.191596981808505	0.00643058515224526	0.0719151447991333	0.00643058515224526	0.0719151447991333	NA	"abundance"	105	85
"UniClust90_15313-EFKJFCHK_01359|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-1.30703403494361	-0.290682613120024	0.34163293187599	0.00646049998293796	0.072171414218931	0.00646049998293796	0.072171414218931	NA	"abundance"	105	31
"UniClust90_15318-LCMIEOLD_01049|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-0.702472272334635	-0.290682613120024	0.14515514449775	0.00648807863570067	0.0724010593211143	0.00648807863570067	0.0724010593211143	NA	"abundance"	105	88
"UniClust90_15313-BACKEHIC_01235|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.213374163983768	-0.290682613120024	0.175730004206271	0.00655290551689467	0.0730454149023794	0.00655290551689467	0.0730454149023794	NA	"abundance"	105	67
"UniClust90_15313-EFKJFCHK_01034|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.632649652130523	-0.0172759480074225	0.219246941389349	0.00657577923780192	0.0732212308001896	0.00657577923780192	0.0732212308001896	NA	"abundance"	105	59
"UniRef90_UNK15313-GLLNBFPP_00887|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.707932836897884	-0.0172759480074225	0.244423645038416	0.0066311958785396	0.0737063857569073	0.0066311958785396	0.0737063857569073	NA	"abundance"	105	90
"UniClust90_15313-AJOEIHIC_00715|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.0712260840106388	-0.290682613120024	0.127619236163026	0.00663364620137814	0.0737063857569073	0.00663364620137814	0.0737063857569073	NA	"abundance"	105	88
"UniRef90_A0A174B0I0|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.502409683966581	-0.0172759480074225	0.18627156131328	0.00675536741408212	0.0747980873511204	0.00675536741408212	0.0747980873511204	NA	"abundance"	105	85
"UniClust90_15342-JMOKFJAL_00473|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.427758989789308	-0.0172759480074225	0.145687517781662	0.00675648546312802	0.0747980873511204	0.00675648546312802	0.0747980873511204	NA	"abundance"	105	89
"UniClust90_15313-FDOPFNBA_00951|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-2.14439340157863	-0.290682613120024	0.619786291125335	0.00675825518760325	0.0747980873511204	0.00675825518760325	0.0747980873511204	NA	"abundance"	105	38
"UniClust90_15313-KPPIIOHB_01904|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.678527781095469	-0.0172759480074225	0.248407767559865	0.00676091721571567	0.0747980873511204	0.00676091721571567	0.0747980873511204	NA	"abundance"	105	73
"UniClust90_15313-HDHHBNCP_01844|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.970402162525249	-0.0172759480074225	0.326508262033763	0.0067851462389413	0.0749856836760168	0.0067851462389413	0.0749856836760168	NA	"abundance"	105	42
"UniClust90_15313-NNFCGCKO_00874|s__GGB9739_SGB15313.t__SGB15313"	"Gender"	"Male"	"GenderMale"	0.748240082201271	0.020683529646976	0.247024557439163	0.00679871141568392	0.0750551535408104	0.00679871141568392	0.0750551535408104	NA	"abundance"	105	60
"UniClust90_15318-LCMIEOLD_02029|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.313140660906855	-0.0172759480074225	0.117080050911377	0.00681606569542028	0.0751662603053247	0.00681606569542028	0.0751662603053247	NA	"abundance"	105	89
"UniRef90_C7H2F2|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-2.12856775942884	-0.290682613120024	0.541951162076091	0.00682605840360877	0.0751960344012928	0.00682605840360877	0.0751960344012928	NA	"abundance"	105	22
"UniClust90_15313-HKPHHECB_01254|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.458119143853636	-0.0172759480074225	0.168502954600376	0.00683739468465407	0.0752405299823566	0.00683739468465407	0.0752405299823566	NA	"abundance"	105	80
"UniClust90_15313-HCAOMJIE_00094|s__GGB9739_SGB15313.t__SGB15313"	"age"	"age"	"age"	-0.188654797056433	0.0182835451620962	0.0707686056819478	0.00688194646120218	0.075650053263812	0.00688194646120218	0.075650053263812	NA	"abundance"	105	81
"UniClust90_15313-EHKBFDBM_00863|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-0.597611251772178	-0.290682613120024	0.108429533294618	0.00691335160533747	0.0759143433467888	0.00691335160533747	0.0759143433467888	NA	"abundance"	105	88
"UniClust90_15313-JGIJADBK_00853|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.542714103299711	-0.0172759480074225	0.187478012291925	0.00696871265061916	0.076440846958015	0.00696871265061916	0.076440846958015	NA	"abundance"	105	86
"UniRef90_E2ZJQ9|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.59844070364483	-0.0172759480074225	0.20734904043802	0.00698217590829657	0.0765071368655111	0.00698217590829657	0.0765071368655111	NA	"abundance"	105	64
"UniClust90_15313-LKDMJCEF_02027|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.355450422807291	-0.0172759480074225	0.132002125680293	0.00700811331538884	0.0767098263216288	0.00700811331538884	0.0767098263216288	NA	"abundance"	105	84
"UniClust90_15313-NHDHBCJP_00527|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.403562774981747	-0.0172759480074225	0.150272097946664	0.00705961299717542	0.0771915902586169	0.00705961299717542	0.0771915902586169	NA	"abundance"	105	76
"UniRef90_D1PKE4|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.382309319863973	-0.0172759480074225	0.129960366219423	0.0070791558967714	0.0773232801394173	0.0070791558967714	0.0773232801394173	NA	"abundance"	105	90
"UniClust90_15332-DOMPHGJJ_01171|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-1.02170516623706	-0.0172759480074225	0.347397498979434	0.00712012336831902	0.0776884571965476	0.00712012336831902	0.0776884571965476	NA	"abundance"	105	36
"UniClust90_15313-CNIBHJBK_00183|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.0618685327026465	-0.290682613120024	0.126828277858048	0.00713515471919521	0.0777046196744734	0.00713515471919521	0.0777046196744734	NA	"abundance"	105	89
"UniRef90_D4KCR5|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.540237298978362	-0.0172759480074225	0.201161065718567	0.00714230829499431	0.0777046196744734	0.00714230829499431	0.0777046196744734	NA	"abundance"	105	81
"UniClust90_15313-CEBJPEBD_01854|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.104948133696632	-0.290682613120024	0.141964745199053	0.0071442129232277	0.0777046196744734	0.0071442129232277	0.0777046196744734	NA	"abundance"	105	80
