F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
1.1.1.192	17.7328459808	20.1880289168	19.4971070407	4.8331873876	2.1770552186	23.4468075687	12.5651806757	8.6402588095	2.4798019132	29.9940473845	0.5158186018	34.4566568603	11.4020396062	11.7102768242	2.6828269861	17.2434347586	19.0542206798	1.1789177782	7.4857849579	0	20.2388660083	6.0810300344	27.0036296328	0.8226419299	7.3961378978	17.7285195788	28.1407119893	6.8765855691	9.6294425143	2.4505189852	18.7868853118	3.4925997483	9.4157394463	10.6455975826	4.9917767379
1.1.1.193	10.0197961154	27.4411426355	26.1014287971	16.6814478578	45.2475035384	7.249092449	19.5167876258	12.7311193	0	44.8077333773	9.735877405	28.5178613883	33.3363854261	19.6417598754	2.9079726598	7.1276821917	2.5896261425	0.8731407161	0	12.524377399	18.7121441533	16.4414493079	3.4096727104	5.7341470001	20.0260930235	8.1882459938	28.2314420222	18.8754593226	33.0391761865	14.6921990991	6.0670406163	8.4496156222	0	11.3363376154	0
1.1.1.195	0.4634644647	0	1.4114196216	0	0	0	0	0	0	0	2.1485116906	0.8712491639	0	0	6.2708384474	2.7189314857	0	0	1.5474315915	2.4795280549	0	0	0	0	0	0	0	0	0.6078144843	0	2.1664736939	0	0	0	0
1.1.1.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.2	41.4966169311	26.1839896726	19.4077103238	14.9573680075	76.2797122879	17.873773424	29.160641462	20.769530619	10.0224227535	47.2074297036	32.8576145309	32.6302890886	16.0272468851	29.7091113872	48.571874534	21.7663482879	71.9141375434	45.3622294513	53.7204794649	47.4169644904	18.7501012608	23.2227828365	21.1122292858	2.2026546307	16.7782801014	21.7180294566	39.1618990577	21.5509111682	32.0286409863	32.2596204063	24.0838374527	33.3642524655	22.900223682	24.7227474917	53.0173365804
1.1.1.200	0	0	0	0	0	2.4798249884	1.0694407341	0	0	0	0	0	0.5030984364	2.0606247062	0	1.3855545933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5192540169	0	0
1.1.1.201	0	0	0	0	2.529677347	0	0	2.2858416239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.202	0.6224873162	0	3.6660784398	0	0	4.6131741929	0	10.954770453	2.1425415099	15.9651482005	7.0314228946	3.0368371755	5.1057133394	8.9265197699	0.8488053189	1.4614963366	0	0	0	0	5.595217643	0	0	0	0	0	10.1638901136	0	5.0414719933	0	0	0	0	1.0756876487	0
1.1.1.205	304.4815895688	314.6871354958	244.090450657	396.4616115403	477.1227421362	401.1066781221	336.2430603777	512.9501650122	435.4217839051	428.394739118	338.1389603204	321.8431969642	427.5952336558	355.41021437	327.0029822375	356.0867213185	376.3049904666	372.2991410531	516.7207334838	370.3796289668	349.4942708358	448.7660644085	397.9126999569	511.7540282905	341.5717613113	288.5693467842	309.0761851835	342.0526321717	327.751739534	322.6748542014	567.2115142201	369.5281718734	525.919129885	388.2097792037	340.1766375987
1.1.1.21	0	3.7176336428	1.4392820899	0.8247627541	0	25.1711965954	0	2.4293920077	0	18.3139070316	6.6476348304	13.5122235486	3.4766752618	10.1711907201	3.2825234865	12.6289058319	0	2.5824787802	0	0	14.9693700687	0	2.2206606219	0	1.4760251158	0	19.0002814896	0	2.1658021616	1.1147229808	8.7011673015	2.4463467554	0	1.9572830782	5.1430017692
