F-50179221-003S	F-50179155-003S	F-50179247-003S	F-50179145-003S	F-50179263-003S	F-50179227-003S	F-50179243-003S	F-50179060-003S	F-50179271-003S	F-50179229-003S	F-50179267-003S	F-50179200-003S	F-50179151-003S	F-50179192-003S	F-50179147-003S	F-50179196-003S	F-50179186-003S	F-50179213-003S	F-50179062-003S	F-50179233-003S	F-50179239-003S	F-50179253-003S	F-50179066-003S	F-50179169-003S	F-50179161-003S	F-50179205-003S	F-50179249-003S	F-50179259-003S	F-50179219-003S	F-50179159-003S	F-50179184-003S	F-50179190-003S	F-50179203-003S	F-50179209-003S	F-50179167-003S
1.1.1.218	0	11.1163068718	14.3095053374	3.4585000535	1.8777208303	18.0886130038	21.1798965869	10.6570907156	4.5228241484	4.8557109814	12.3681851261	13.7623289793	5.2261284344	16.9230593005	6.9873415739	27.6079244219	15.9225805606	13.758655639	30.6845216871	10.1065759366	16.6524946385	19.2319125196	3.5601761796	0	9.2801471745	22.5525455827	18.8998905522	5.6906196734	22.3908249726	17.5172265649	4.1457035136	13.2155971724	12.0124426621	24.9815550635	9.3481166105
1.1.1.22	192.971291708	616.5789511999	410.8621784159	237.6194566238	255.6815626653	285.2804134665	498.7447326275	1038.3635896902	214.0843203876	468.808024167	310.2694814912	646.3963009092	350.5680727996	285.4341607513	157.9366580111	423.5966132397	370.1366099968	225.9704175771	108.3618794208	225.9262701973	452.2620943678	159.1909554731	329.4418434552	72.8000477628	570.4214772981	213.0561413435	297.9233392765	98.3734804966	814.1112200764	450.8568234277	218.6826048951	240.3271122558	365.4250296903	546.3825026686	134.4068505146
1.1.1.23	256.4421607689	294.9362393041	372.5245308073	149.9789617126	99.4612248259	249.8726264242	217.409995484	367.5211788338	174.2015604526	341.3406965342	304.4173465601	360.4448198358	172.7478943662	332.2343940117	429.3466725643	290.3322203867	295.2940048956	423.4019793206	502.0441393068	371.7600056298	218.48510052	347.9960699237	412.7613210505	46.3302713978	366.1328846847	355.9925223771	235.6526709346	267.9891853513	326.7304696947	262.1940891393	220.1196261689	266.1366073544	319.5570510556	375.4550963269	181.6766119299
1.1.1.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.237	0	0	0	0.688955907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73226352	0	0	0	0	0	0.3586273026	0	0	0
1.1.1.244	0	3.4599620639	0.5089010287	1.8121392661	2.9753181351	0	0	2.8859300437	0.6734042481	6.0283752005	0	3.3078003537	1.4477213779	2.1072857908	0	1.3751589976	1.9400539678	0	0	0	0	1.3102651695	0.7128555567	0	3.0601437915	3.5273197446	3.2502971224	2.8809096384	3.2862398033	0	2.3714111472	1.142829542	3.0646739036	0	0
1.1.1.25	200.9714136445	324.3105943156	282.3986754637	397.2273905053	340.9944240712	335.498919107	368.8763541686	263.3400551875	365.3280209044	310.7961894858	334.2796263493	301.9395086919	303.8815359827	292.7190289567	224.4601896853	279.0206377321	285.7591791245	341.1509704736	334.4202800977	331.1493272002	287.8145341467	262.6384609576	242.5758477315	544.1028370443	323.7147303123	295.9332214225	405.98654547	470.2680143401	267.1586253044	295.9501009994	289.3906750713	357.8368907372	259.463047308	275.4446582598	489.0318226175
1.1.1.250	0	0	0	0	0	0	0	0	2.2770913996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3517128746	0	0	0.8570073605	1.942022864
1.1.1.251	0	0	1.2010877586	3.1399368634	1.8696892285	0	3.4240642859	3.1732555263	3.2149859193	5.3281411699	0	0	2.3353701068	2.6918386094	2.6412375471	3.0584811843	1.5229350516	0	0	0	5.5294265949	4.2840882793	0	0	1.0799207275	0	5.3516228704	2.947109954	2.0725417394	2.7483156067	3.214533382	2.8670336843	3.3250015216	0	4.1157660552
1.1.1.252	0	0	0.4523551163	2.0608536778	2.0157543334	1.3530090434	0	0	0	0	0	1.3346579703	0	0	0	0	1.5774334426	0	0	0	0	0	0	0	0	1.4384079485	0.8485992594	0	0.7061690811	2.2187810803	0	0	0	3.1558210353	0
