	F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
N-acetyl-isoputreanine	0.9998	0.6525	0.9104	1.3074	0.6368	0.7474	0.7747	1.7285	0.7712	1.0052	0.466	1.9689	0.8077	0.9614	1.1564	2.9011	1.8226	0.7795	0.6013	0.4343	0.7752	0.5216	0.9553	0.607	1.0235	0.6198	2.3894	1.0302	2.3565	0.5827	0.9891	0.6182	0.4001	0.7068	0.6659
spermidine	1.8471	1.2804	1.1506	1.4119	0.5786	1.8776	1.2576	0.9452	0.6007	1.4301	0.5553	1.3185	1.8481	1.9581	1.9108	1.9691	1.1887	0.5436	0.9334	0.4647	0.9372	0.2527	1.3878	0.4767	1.5495	1.4099	1.5497	0.9891	0.5909	0.5485	0.6977	0.7454	0.4903	1.5322	1.3326
diacetylspermidine*	3.6327	2.2086	4.3454	0.8356	0.0967	2.1125	1.1108	0.1439	0.1941	3.4122	0.784	1.8281	1.8776	3.2137	4.0428	3.2336	3.1192	2.8917	1.5915	0.8819	3.608	1.1048	1.9618	0.8444	1.8193	2.1948	4.8272	1.474	2.461	1.4466	0.686	0.5841	0.4285	1.6171	2.5674
(N(1) + N(8))-acetylspermidine	1.8345	1.5352	1.2339	1.2117	0.7281	1.8728	1.0657	0.8395	0.662	1.3894	0.7153	0.7884	1.856	1.8192	2.5066	2.013	1.2456	0.9622	1.1503	0.6298	1.5048	0.3727	1.6154	1.1961	1.9291	1.3494	2.125	1.0831	1.1981	0.7564	1.2887	1.1901	0.567	1.4406	1.3204
spermine	1.6387	0.9645	1.8605	0.9953	1.5415	0.6964	1.0758	2.5526	0.7281	0.354	1.0126	2.4135	0.8503	1.2646	0.9486	0.6549	1.2395	1.1689	1.7387	0.5083	1.9729	1.1024	1.0044	0.7635	0.4424	1.2738	1.6425	4.0414	1.0074	1.2404	2.902	0.856	1.0373	1.8191	0.9946
N(1)-acetylspermine	1.9616	0.8543	1.1399	1.7297	0.6357	1.4889	1.7309	1.0587	1.0417	0.2565	0.8557	1.2842	1.4917	1.4975	1.5351	1.0191	1.0846	0.4037	2.6653	0.7598	1.127	0.6608	0.9963	4.4411	2.4639	1.0253	3.207	1.634	1.0312	0.6113	1.5002	0.6164	3.2062	1.1004	1.743
N1,N12-diacetylspermine	2.2342	1.6501	2.2371	2.7305	0.7332	1.2161	1.7751	1.0553	0.825	0.3208	1.7197	1.7591	3.3211	2.871	3.1747	1.1215	1.6125	1.4922	3.2574	0.8423	2.3665	2.1037	1.7614	1.9833	1.7171	1.3348	3.3778	2.5007	1.2568	1.5817	7.2636	0.6859	0.7158	1.1813	3.1152
5-methylthioadenosine (MTA)	1.7833	0.0773	4.928	1.9987	0.0773	1.2868	2.1556	0.0773	0.9249	1.8951	1.4248	0.6096	1.0909	0.166	1.3967	0.616	0.4117	0.4088	3.2907	0.595	0.3596	2.101	2.1931	0.0773	0.3467	4.4437	1.4651	0.5933	0.5667	1.4797	3.9942	0.0773	0.5365	0.0773	3.5089
4-acetamidobutanoate	4.1345	5.4825	2.3464	1.5144	1.089	2.4145	1.2486	0.5498	0.8338	2.7543	0.9913	2.8796	3.9173	3.1034	3.7266	4.8718	6.2945	1.5153	2.6313	0.913	3.1849	0.7521	1.5878	0.808	1.0709	1.7311	5.8644	0.5768	5.1171	0.8204	5.0596	0.5615	0.7992	0.9072	3.2464
1-methylguanidine	1.0381	1.2567	0.9323	2.365	0.9843	1.1002	1.5806	1.1862	1.6966	1.3436	0.6262	4.1957	1.5111	1.3556	1.4906	3.7781	2.3009	0.5177	0.8103	0.9457	0.6318	0.5838	2.1441	0.7423	0.8224	1.0016	2.7398	0.5087	3.8046	0.4874	1.3693	0.7787	0.7605	0.9735	1.3446
